oblast;raion;hromada;level;started_at;finished_at
Donetska oblast;;;oblast;03.06.2022 18:21;03.06.2022 18:55
Donetska oblast;Bakhmutskyi raion;;raion;03.06.2022 18:22;03.06.2022 18:55
Poltavska oblast;;;oblast;03.06.2022 18:32;03.06.2022 18:51
Kharkivska oblast;;;oblast;03.06.2022 18:32;03.06.2022 18:51
Odeska oblast;;;oblast;03.06.2022 18:33;03.06.2022 18:53
Dnipropetrovska oblast;;;oblast;03.06.2022 18:33;03.06.2022 18:51
Dnipropetrovska oblast;Kryvorizkyi raion;m. Kryvyi Rih ta Kryvorizka terytorialna hromada;hromada;03.06.2022 18:34;03.06.2022 18:51
Mykolaivska oblast;;;oblast;03.06.2022 18:36;03.06.2022 18:58
Mykolaivska oblast;Pervomaiskyi raion;Arbuzynska terytorialna hromada;hromada;03.06.2022 18:37;03.06.2022 18:53
Sumska oblast;;;oblast;03.06.2022 18:37;03.06.2022 19:01
Mykolaivska oblast;Pervomaiskyi raion;Kryvoozerska terytorialna hromada;hromada;03.06.2022 18:37;03.06.2022 18:53
Mykolaivska oblast;Voznesenskyi raion;m. Voznesensk ta Voznesenska terytorialna hromada;hromada;03.06.2022 18:39;03.06.2022 18:53
Odeska oblast;;;oblast;03.06.2022 22:01;04.06.2022 0:29
Mykolaivska oblast;Voznesenskyi raion;m. Voznesensk ta Voznesenska terytorialna hromada;hromada;03.06.2022 22:02;04.06.2022 0:43
Mykolaivska oblast;Pervomaiskyi raion;Arbuzynska terytorialna hromada;hromada;03.06.2022 22:05;04.06.2022 0:27
Mykolaivska oblast;Pervomaiskyi raion;Kryvoozerska terytorialna hromada;hromada;03.06.2022 22:06;03.06.2022 23:48
Chernivetska oblast;;;oblast;03.06.2022 22:12;04.06.2022 0:25
Mykolaivska oblast;;;oblast;03.06.2022 22:14;04.06.2022 0:24
Poltavska oblast;;;oblast;03.06.2022 22:52;04.06.2022 0:23
Dnipropetrovska oblast;;;oblast;03.06.2022 22:52;04.06.2022 0:25
Kharkivska oblast;;;oblast;03.06.2022 22:53;04.06.2022 0:25
Zaporizka oblast;;;oblast;03.06.2022 22:53;04.06.2022 0:28
Cherkaska oblast;;;oblast;03.06.2022 22:54;04.06.2022 0:23
Kirovohradska oblast;;;oblast;03.06.2022 22:54;04.06.2022 0:23
Dnipropetrovska oblast;Kryvorizkyi raion;m. Kryvyi Rih ta Kryvorizka terytorialna hromada;hromada;03.06.2022 23:02;04.06.2022 0:24
Donetska oblast;Kramatorskyi raion;;raion;03.06.2022 23:12;04.06.2022 0:26
Kharkivska oblast;Kharkivskyi raion;;raion;03.06.2022 23:12;04.06.2022 0:25
Sumska oblast;;;oblast;03.06.2022 23:16;04.06.2022 0:28
Vinnytska oblast;;;oblast;03.06.2022 23:17;04.06.2022 0:22
Khmelnytska oblast;;;oblast;03.06.2022 23:17;04.06.2022 0:23
Lvivska oblast;;;oblast;03.06.2022 23:17;04.06.2022 0:24
Volynska oblast;;;oblast;03.06.2022 23:18;04.06.2022 0:23
Kyiv;;;oblast;03.06.2022 23:18;04.06.2022 0:23
Donetska oblast;;;oblast;03.06.2022 23:19;04.06.2022 0:26
Zhytomyrska oblast;;;oblast;03.06.2022 23:19;04.06.2022 0:23
Ivano-Frankivska oblast;;;oblast;03.06.2022 23:19;04.06.2022 0:24
Rivnenska oblast;;;oblast;03.06.2022 23:20;04.06.2022 0:25
Ternopilska oblast;;;oblast;03.06.2022 23:21;04.06.2022 0:27
Kyivska oblast;;;oblast;03.06.2022 23:21;04.06.2022 0:24
Zakarpatska oblast;;;oblast;03.06.2022 23:22;04.06.2022 0:24
Chernihivska oblast;;;oblast;03.06.2022 23:22;04.06.2022 0:25
Mykolaivska oblast;Pervomaiskyi raion;Kryvoozerska terytorialna hromada;hromada;03.06.2022 23:48;04.06.2022 0:32
Kharkivska oblast;;;oblast;04.06.2022 1:09;04.06.2022 1:29
Poltavska oblast;;;oblast;04.06.2022 1:12;04.06.2022 1:29
Dnipropetrovska oblast;;;oblast;04.06.2022 1:13;04.06.2022 1:29
Dnipropetrovska oblast;Kryvorizkyi raion;m. Kryvyi Rih ta Kryvorizka terytorialna hromada;hromada;04.06.2022 1:13;04.06.2022 1:29
Zaporizka oblast;;;oblast;04.06.2022 1:14;04.06.2022 1:31
Sumska oblast;;;oblast;04.06.2022 1:16;04.06.2022 1:38
Zaporizka oblast;Polohivskyi raion;Orikhivska terytorialna hromada;hromada;04.06.2022 2:23;04.06.2022 3:48
Zaporizka oblast;Polohivskyi raion;Preobrazhenska terytorialna hromada;hromada;04.06.2022 2:23;04.06.2022 3:48
Poltavska oblast;;;oblast;04.06.2022 4:57;04.06.2022 5:12
Cherkaska oblast;;;oblast;04.06.2022 5:00;04.06.2022 5:28
Sumska oblast;;;oblast;04.06.2022 5:03;04.06.2022 5:23
Kirovohradska oblast;;;oblast;04.06.2022 5:10;04.06.2022 5:28
Kyivska oblast;;;oblast;04.06.2022 5:11;04.06.2022 5:33
Zhytomyrska oblast;;;oblast;04.06.2022 5:15;04.06.2022 5:28
Odeska oblast;;;oblast;04.06.2022 6:17;04.06.2022 6:54
Mykolaivska oblast;;;oblast;04.06.2022 6:18;04.06.2022 6:51
Mykolaivska oblast;Pervomaiskyi raion;Arbuzynska terytorialna hromada;hromada;04.06.2022 6:20;04.06.2022 6:50
Mykolaivska oblast;Pervomaiskyi raion;Kryvoozerska terytorialna hromada;hromada;04.06.2022 6:21;04.06.2022 6:49
Mykolaivska oblast;Voznesenskyi raion;m. Voznesensk ta Voznesenska terytorialna hromada;hromada;04.06.2022 6:25;04.06.2022 7:00
Dnipropetrovska oblast;;;oblast;04.06.2022 8:06;04.06.2022 8:58
Dnipropetrovska oblast;Kryvorizkyi raion;m. Kryvyi Rih ta Kryvorizka terytorialna hromada;hromada;04.06.2022 8:06;04.06.2022 8:59
Cherkaska oblast;;;oblast;04.06.2022 8:07;04.06.2022 9:01
Poltavska oblast;;;oblast;04.06.2022 8:07;04.06.2022 9:01
Kirovohradska oblast;;;oblast;04.06.2022 8:08;04.06.2022 9:02
Donetska oblast;Bakhmutskyi raion;;raion;04.06.2022 8:10;04.06.2022 9:22
Kharkivska oblast;;;oblast;04.06.2022 8:11;04.06.2022 8:58
Donetska oblast;Kramatorskyi raion;;raion;04.06.2022 8:13;04.06.2022 9:22
Zaporizka oblast;;;oblast;04.06.2022 8:27;04.06.2022 9:02
Donetska oblast;Pokrovskyi raion;;raion;04.06.2022 8:47;04.06.2022 9:22
Donetska oblast;;;oblast;04.06.2022 10:47;04.06.2022 11:38
Kharkivska oblast;;;oblast;04.06.2022 10:52;04.06.2022 11:36
Donetska oblast;;;oblast;04.06.2022 14:46;04.06.2022 15:35
Donetska oblast;;;oblast;04.06.2022 16:21;04.06.2022 17:13
Donetska oblast;;;oblast;04.06.2022 17:47;04.06.2022 17:59
Donetska oblast;;;oblast;04.06.2022 18:50;04.06.2022 19:45
Kharkivska oblast;;;oblast;04.06.2022 18:51;04.06.2022 19:41
Zaporizka oblast;Polohivskyi raion;Orikhivska terytorialna hromada;hromada;04.06.2022 19:51;04.06.2022 20:26
Zaporizka oblast;Polohivskyi raion;Preobrazhenska terytorialna hromada;hromada;04.06.2022 19:51;04.06.2022 20:26
Kharkivska oblast;;;oblast;04.06.2022 22:43;05.06.2022 0:04
Mykolaivska oblast;Voznesenskyi raion;m. Voznesensk ta Voznesenska terytorialna hromada;hromada;04.06.2022 22:43;04.06.2022 23:08
Mykolaivska oblast;;;oblast;04.06.2022 22:45;04.06.2022 23:08
Odeska oblast;;;oblast;04.06.2022 22:46;04.06.2022 23:08
Kyiv;;;oblast;04.06.2022 22:46;05.06.2022 0:06
Vinnytska oblast;;;oblast;04.06.2022 22:47;05.06.2022 0:10
Mykolaivska oblast;Pervomaiskyi raion;Kryvoozerska terytorialna hromada;hromada;04.06.2022 22:47;04.06.2022 23:07
Zhytomyrska oblast;;;oblast;04.06.2022 22:47;05.06.2022 0:08
Cherkaska oblast;;;oblast;04.06.2022 22:47;05.06.2022 0:08
Chernihivska oblast;;;oblast;04.06.2022 22:48;05.06.2022 0:08
Kyivska oblast;;;oblast;04.06.2022 22:48;05.06.2022 0:08
Kirovohradska oblast;;;oblast;04.06.2022 22:49;05.06.2022 0:09
Poltavska oblast;;;oblast;04.06.2022 22:53;05.06.2022 0:09
Khmelnytska oblast;;;oblast;04.06.2022 22:57;04.06.2022 23:12
Sumska oblast;;;oblast;04.06.2022 22:58;05.06.2022 0:13
Ivano-Frankivska oblast;;;oblast;04.06.2022 23:17;05.06.2022 0:09
Volynska oblast;;;oblast;04.06.2022 23:17;05.06.2022 0:10
Khmelnytska oblast;;;oblast;04.06.2022 23:17;05.06.2022 0:10
Zakarpatska oblast;;;oblast;04.06.2022 23:18;05.06.2022 0:09
Lvivska oblast;;;oblast;04.06.2022 23:18;05.06.2022 0:10
Chernivetska oblast;;;oblast;04.06.2022 23:18;05.06.2022 0:10
Ternopilska oblast;;;oblast;04.06.2022 23:21;05.06.2022 0:10
Rivnenska oblast;;;oblast;04.06.2022 23:22;05.06.2022 0:09
Mykolaivska oblast;Voznesenskyi raion;m. Voznesensk ta Voznesenska terytorialna hromada;hromada;04.06.2022 23:36;04.06.2022 23:47
Odeska oblast;;;oblast;04.06.2022 23:37;04.06.2022 23:46
Mykolaivska oblast;;;oblast;04.06.2022 23:39;05.06.2022 8:28
Mykolaivska oblast;Pervomaiskyi raion;Kryvoozerska terytorialna hromada;hromada;04.06.2022 23:40;04.06.2022 23:48
Donetska oblast;;;oblast;05.06.2022 0:55;05.06.2022 1:17
Donetska oblast;;;oblast;05.06.2022 3:22;05.06.2022 4:27
Poltavska oblast;;;oblast;05.06.2022 3:22;05.06.2022 4:25
Dnipropetrovska oblast;;;oblast;05.06.2022 3:23;05.06.2022 4:23
Zaporizka oblast;;;oblast;05.06.2022 3:23;05.06.2022 5:44
Kharkivska oblast;;;oblast;05.06.2022 3:23;05.06.2022 4:26
Dnipropetrovska oblast;Kryvorizkyi raion;m. Kryvyi Rih ta Kryvorizka terytorialna hromada;hromada;05.06.2022 3:23;05.06.2022 4:24
Sumska oblast;;;oblast;05.06.2022 3:30;05.06.2022 4:29
Cherkaska oblast;;;oblast;05.06.2022 3:31;05.06.2022 4:12
Kirovohradska oblast;;;oblast;05.06.2022 3:33;05.06.2022 4:12
Kyiv;;;oblast;05.06.2022 3:44;05.06.2022 4:13
Kyivska oblast;;;oblast;05.06.2022 3:45;05.06.2022 3:49
Chernihivska oblast;;;oblast;05.06.2022 3:45;05.06.2022 4:12
Kharkivska oblast;;;oblast;05.06.2022 4:59;05.06.2022 5:44
Dnipropetrovska oblast;;;oblast;05.06.2022 5:06;05.06.2022 5:35
Poltavska oblast;;;oblast;05.06.2022 5:06;05.06.2022 5:42
Sumska oblast;;;oblast;05.06.2022 5:06;05.06.2022 8:32
Donetska oblast;;;oblast;05.06.2022 5:06;05.06.2022 8:25
Dnipropetrovska oblast;Kryvorizkyi raion;m. Kryvyi Rih ta Kryvorizka terytorialna hromada;hromada;05.06.2022 5:10;05.06.2022 5:36
Poltavska oblast;;;oblast;05.06.2022 5:45;05.06.2022 8:27
Zaporizka oblast;;;oblast;05.06.2022 5:45;05.06.2022 8:28
Dnipropetrovska oblast;;;oblast;05.06.2022 5:45;05.06.2022 8:23
Kharkivska oblast;;;oblast;05.06.2022 5:46;05.06.2022 8:24
Dnipropetrovska oblast;Kryvorizkyi raion;m. Kryvyi Rih ta Kryvorizka terytorialna hromada;hromada;05.06.2022 5:46;05.06.2022 8:23
Odeska oblast;;;oblast;05.06.2022 5:47;05.06.2022 8:20
Mykolaivska oblast;Pervomaiskyi raion;Kryvoozerska terytorialna hromada;hromada;05.06.2022 5:50;05.06.2022 8:21
Mykolaivska oblast;Pervomaiskyi raion;Arbuzynska terytorialna hromada;hromada;05.06.2022 5:51;05.06.2022 8:21
Kyiv;;;oblast;05.06.2022 6:01;05.06.2022 8:26
Kyivska oblast;;;oblast;05.06.2022 6:02;05.06.2022 8:25
Chernihivska oblast;;;oblast;05.06.2022 6:02;05.06.2022 8:25
Cherkaska oblast;;;oblast;05.06.2022 6:02;05.06.2022 8:25
Zhytomyrska oblast;;;oblast;05.06.2022 6:03;05.06.2022 8:25
Kirovohradska oblast;;;oblast;05.06.2022 6:03;05.06.2022 8:26
Vinnytska oblast;;;oblast;05.06.2022 6:04;05.06.2022 8:23
Khmelnytska oblast;;;oblast;05.06.2022 6:11;05.06.2022 8:27
Zakarpatska oblast;;;oblast;05.06.2022 6:12;05.06.2022 8:27
Volynska oblast;;;oblast;05.06.2022 6:12;05.06.2022 8:27
Ternopilska oblast;;;oblast;05.06.2022 6:14;05.06.2022 8:42
Lvivska oblast;;;oblast;05.06.2022 6:14;05.06.2022 8:28
Chernivetska oblast;;;oblast;05.06.2022 6:14;05.06.2022 8:29
Ivano-Frankivska oblast;;;oblast;05.06.2022 6:15;05.06.2022 8:27
Rivnenska oblast;;;oblast;05.06.2022 6:18;05.06.2022 8:25
Donetska oblast;Kramatorskyi raion;;raion;05.06.2022 10:11;05.06.2022 10:59
Kharkivska oblast;;;oblast;05.06.2022 10:12;05.06.2022 10:57
Donetska oblast;Bakhmutskyi raion;;raion;05.06.2022 10:12;05.06.2022 10:59
Donetska oblast;;;oblast;05.06.2022 10:16;05.06.2022 10:58
Zaporizka oblast;;;oblast;05.06.2022 10:56;05.06.2022 11:22
Dnipropetrovska oblast;Kryvorizkyi raion;m. Kryvyi Rih ta Kryvorizka terytorialna hromada;hromada;05.06.2022 11:02;05.06.2022 11:26
Dnipropetrovska oblast;;;oblast;05.06.2022 11:02;05.06.2022 11:25
Donetska oblast;Kramatorskyi raion;;raion;05.06.2022 11:33;05.06.2022 12:34
Donetska oblast;;;oblast;05.06.2022 11:36;05.06.2022 12:35
Mykolaivska oblast;Voznesenskyi raion;m. Voznesensk ta Voznesenska terytorialna hromada;hromada;05.06.2022 14:09;05.06.2022 14:57
Donetska oblast;;;oblast;05.06.2022 14:38;05.06.2022 15:43
Donetska oblast;;;oblast;05.06.2022 17:35;05.06.2022 20:40
Mykolaivska oblast;Voznesenskyi raion;m. Voznesensk ta Voznesenska terytorialna hromada;hromada;05.06.2022 17:37;05.06.2022 18:09
Kharkivska oblast;;;oblast;05.06.2022 19:54;05.06.2022 20:38
Zaporizka oblast;;;oblast;05.06.2022 19:54;05.06.2022 20:39
Dnipropetrovska oblast;;;oblast;05.06.2022 19:54;05.06.2022 20:41
Dnipropetrovska oblast;Kryvorizkyi raion;m. Kryvyi Rih ta Kryvorizka terytorialna hromada;hromada;05.06.2022 19:55;05.06.2022 20:41
Donetska oblast;;;oblast;05.06.2022 21:46;05.06.2022 22:44
Kharkivska oblast;;;oblast;05.06.2022 21:53;05.06.2022 23:46
Kharkivska oblast;Kharkivskyi raion;m. Kharkiv ta Kharkivska terytorialna hromada;hromada;05.06.2022 22:38;05.06.2022 23:45
Zaporizka oblast;Polohivskyi raion;Orikhivska terytorialna hromada;hromada;06.06.2022 0:12;06.06.2022 1:14
Zaporizka oblast;Polohivskyi raion;Preobrazhenska terytorialna hromada;hromada;06.06.2022 0:12;06.06.2022 1:14
Zaporizka oblast;;;oblast;06.06.2022 1:37;06.06.2022 3:10
Donetska oblast;;;oblast;06.06.2022 2:03;06.06.2022 3:09
Cherkaska oblast;;;oblast;06.06.2022 2:17;06.06.2022 3:06
Poltavska oblast;;;oblast;06.06.2022 2:17;06.06.2022 3:06
Kyiv;;;oblast;06.06.2022 2:17;06.06.2022 3:10
Kyivska oblast;;;oblast;06.06.2022 2:17;06.06.2022 3:07
Kirovohradska oblast;;;oblast;06.06.2022 2:18;06.06.2022 3:07
Chernihivska oblast;;;oblast;06.06.2022 2:20;06.06.2022 3:07
Sumska oblast;;;oblast;06.06.2022 2:22;06.06.2022 3:11
Kharkivska oblast;;;oblast;06.06.2022 2:26;06.06.2022 3:06
Dnipropetrovska oblast;;;oblast;06.06.2022 2:27;06.06.2022 3:09
Dnipropetrovska oblast;Kryvorizkyi raion;m. Kryvyi Rih ta Kryvorizka terytorialna hromada;hromada;06.06.2022 2:28;06.06.2022 3:10
Mykolaivska oblast;;;oblast;06.06.2022 2:37;06.06.2022 7:20
Zaporizka oblast;Polohivskyi raion;Orikhivska terytorialna hromada;hromada;06.06.2022 5:51;06.06.2022 6:14
Donetska oblast;;;oblast;06.06.2022 7:36;06.06.2022 8:39
Zaporizka oblast;Polohivskyi raion;Orikhivska terytorialna hromada;hromada;06.06.2022 9:49;06.06.2022 11:02
Donetska oblast;;;oblast;06.06.2022 10:14;06.06.2022 11:17
Mykolaivska oblast;Mykolaivskyi raion;m. Mykolaiv ta Mykolaivska terytorialna hromada;hromada;06.06.2022 10:55;06.06.2022 13:25
Kyiv;;;oblast;06.06.2022 11:21;06.06.2022 14:09
Cherkaska oblast;;;oblast;06.06.2022 11:22;06.06.2022 14:11
Kirovohradska oblast;;;oblast;06.06.2022 11:23;06.06.2022 14:11
Mykolaivska oblast;Voznesenskyi raion;m. Voznesensk ta Voznesenska terytorialna hromada;hromada;06.06.2022 11:23;06.06.2022 13:31
Mykolaivska oblast;;;oblast;06.06.2022 11:24;06.06.2022 13:23
Kyivska oblast;;;oblast;06.06.2022 11:24;06.06.2022 14:10
Mykolaivska oblast;Pervomaiskyi raion;Kryvoozerska terytorialna hromada;hromada;06.06.2022 11:24;06.06.2022 13:25
Mykolaivska oblast;Pervomaiskyi raion;Arbuzynska terytorialna hromada;hromada;06.06.2022 11:24;06.06.2022 13:25
Dnipropetrovska oblast;;;oblast;06.06.2022 11:26;06.06.2022 14:08
Dnipropetrovska oblast;Kryvorizkyi raion;m. Kryvyi Rih ta Kryvorizka terytorialna hromada;hromada;06.06.2022 11:26;06.06.2022 14:08
Poltavska oblast;;;oblast;06.06.2022 11:26;06.06.2022 14:11
Donetska oblast;Kramatorskyi raion;;raion;06.06.2022 11:44;06.06.2022 12:18
Donetska oblast;Bakhmutskyi raion;;raion;06.06.2022 11:44;06.06.2022 12:20
Donetska oblast;;;oblast;06.06.2022 11:46;06.06.2022 12:20
Zaporizka oblast;;;oblast;06.06.2022 12:06;06.06.2022 14:08
Odeska oblast;;;oblast;06.06.2022 12:33;06.06.2022 13:24
Donetska oblast;Kramatorskyi raion;;raion;06.06.2022 12:34;06.06.2022 14:09
Sumska oblast;;;oblast;06.06.2022 12:34;06.06.2022 14:11
Donetska oblast;;;oblast;06.06.2022 12:34;06.06.2022 14:15
Zaporizka oblast;Polohivskyi raion;Orikhivska terytorialna hromada;hromada;06.06.2022 12:37;06.06.2022 13:12
Kharkivska oblast;;;oblast;06.06.2022 12:56;06.06.2022 19:39
Donetska oblast;Kramatorskyi raion;;raion;06.06.2022 14:18;06.06.2022 16:18
Donetska oblast;Bakhmutskyi raion;;raion;06.06.2022 14:19;06.06.2022 17:26
Donetska oblast;;;oblast;06.06.2022 14:19;06.06.2022 17:26
Dnipropetrovska oblast;;;oblast;06.06.2022 15:05;06.06.2022 15:46
Dnipropetrovska oblast;Kryvorizkyi raion;m. Kryvyi Rih ta Kryvorizka terytorialna hromada;hromada;06.06.2022 15:06;06.06.2022 15:47
Kharkivska oblast;Kharkivskyi raion;;raion;06.06.2022 15:08;06.06.2022 19:39
Donetska oblast;Kramatorskyi raion;;raion;06.06.2022 18:47;06.06.2022 19:41
Donetska oblast;;;oblast;06.06.2022 18:51;06.06.2022 19:41
Kharkivska oblast;Iziumskyi raion;;raion;06.06.2022 18:54;06.06.2022 19:39
Zaporizka oblast;;;oblast;07.06.2022 2:08;07.06.2022 2:27
Donetska oblast;;;oblast;07.06.2022 2:09;07.06.2022 2:23
Poltavska oblast;;;oblast;07.06.2022 3:08;07.06.2022 3:42
Kharkivska oblast;;;oblast;07.06.2022 3:09;07.06.2022 3:45
Dnipropetrovska oblast;;;oblast;07.06.2022 3:09;07.06.2022 3:41
Dnipropetrovska oblast;Kryvorizkyi raion;m. Kryvyi Rih ta Kryvorizka terytorialna hromada;hromada;07.06.2022 3:09;07.06.2022 3:42
Cherkaska oblast;;;oblast;07.06.2022 3:10;07.06.2022 3:43
Kyiv;;;oblast;07.06.2022 3:11;07.06.2022 3:41
Kirovohradska oblast;;;oblast;07.06.2022 3:11;07.06.2022 3:44
Chernihivska oblast;;;oblast;07.06.2022 3:16;07.06.2022 3:43
Kyivska oblast;;;oblast;07.06.2022 3:17;07.06.2022 3:45
Donetska oblast;;;oblast;07.06.2022 3:17;07.06.2022 3:43
Sumska oblast;;;oblast;07.06.2022 3:18;07.06.2022 3:46
Zaporizka oblast;;;oblast;07.06.2022 3:19;07.06.2022 3:43
Donetska oblast;;;oblast;07.06.2022 8:19;07.06.2022 8:55
Donetska oblast;;;oblast;07.06.2022 9:24;07.06.2022 10:57
Kharkivska oblast;;;oblast;07.06.2022 10:22;07.06.2022 10:58
Zaporizka oblast;Polohivskyi raion;Orikhivska terytorialna hromada;hromada;07.06.2022 11:33;07.06.2022 11:47
Donetska oblast;;;oblast;07.06.2022 11:41;07.06.2022 12:32
Donetska oblast;;;oblast;07.06.2022 14:01;07.06.2022 15:43
Kharkivska oblast;;;oblast;07.06.2022 14:35;07.06.2022 15:44
Odeska oblast;;;oblast;07.06.2022 17:44;07.06.2022 18:13
Mykolaivska oblast;Voznesenskyi raion;m. Voznesensk ta Voznesenska terytorialna hromada;hromada;07.06.2022 17:47;07.06.2022 18:16
Mykolaivska oblast;;;oblast;07.06.2022 17:49;07.06.2022 18:15
Mykolaivska oblast;Pervomaiskyi raion;Kryvoozerska terytorialna hromada;hromada;07.06.2022 17:50;07.06.2022 18:20
Kyiv;;;oblast;07.06.2022 19:02;07.06.2022 19:06
Kharkivska oblast;Kharkivskyi raion;m. Kharkiv ta Kharkivska terytorialna hromada;hromada;07.06.2022 19:12;07.06.2022 23:36
Kharkivska oblast;;;oblast;07.06.2022 19:48;07.06.2022 23:37
Donetska oblast;;;oblast;07.06.2022 20:15;07.06.2022 21:44
Zaporizka oblast;;;oblast;07.06.2022 20:16;07.06.2022 21:45
Dnipropetrovska oblast;;;oblast;07.06.2022 20:20;07.06.2022 21:42
Odeska oblast;;;oblast;07.06.2022 20:21;07.06.2022 21:42
Poltavska oblast;;;oblast;07.06.2022 20:21;07.06.2022 21:42
Dnipropetrovska oblast;Kryvorizkyi raion;m. Kryvyi Rih ta Kryvorizka terytorialna hromada;hromada;07.06.2022 20:21;07.06.2022 21:43
Mykolaivska oblast;Voznesenskyi raion;m. Voznesensk ta Voznesenska terytorialna hromada;hromada;07.06.2022 20:21;07.06.2022 21:46
Mykolaivska oblast;;;oblast;07.06.2022 20:24;07.06.2022 21:49
Mykolaivska oblast;Pervomaiskyi raion;Kryvoozerska terytorialna hromada;hromada;07.06.2022 20:25;07.06.2022 21:46
Sumska oblast;;;oblast;07.06.2022 20:26;07.06.2022 21:50
Kyiv;;;oblast;07.06.2022 20:45;07.06.2022 21:47
Cherkaska oblast;;;oblast;07.06.2022 20:45;07.06.2022 21:47
Kirovohradska oblast;;;oblast;07.06.2022 20:45;07.06.2022 21:47
Kyivska oblast;;;oblast;07.06.2022 20:46;07.06.2022 21:47
Chernihivska oblast;;;oblast;07.06.2022 20:47;07.06.2022 21:48
Zhytomyrska oblast;;;oblast;07.06.2022 21:00;07.06.2022 21:47
Vinnytska oblast;;;oblast;07.06.2022 21:01;07.06.2022 21:48
Khmelnytska oblast;;;oblast;07.06.2022 21:07;07.06.2022 21:47
Ivano-Frankivska oblast;;;oblast;07.06.2022 21:07;07.06.2022 21:47
Volynska oblast;;;oblast;07.06.2022 21:08;07.06.2022 21:47
Lvivska oblast;;;oblast;07.06.2022 21:09;07.06.2022 21:49
Chernivetska oblast;;;oblast;07.06.2022 21:09;07.06.2022 21:48
Ternopilska oblast;;;oblast;07.06.2022 21:09;07.06.2022 21:52
Zakarpatska oblast;;;oblast;07.06.2022 21:10;07.06.2022 21:48
Rivnenska oblast;;;oblast;07.06.2022 21:10;07.06.2022 21:50
Kharkivska oblast;Kharkivskyi raion;;raion;07.06.2022 21:23;07.06.2022 23:36
Chernivetska oblast;Chernivetskyi raion;;raion;07.06.2022 21:48;07.06.2022 21:48
Donetska oblast;;;oblast;07.06.2022 23:24;08.06.2022 0:24
Kharkivska oblast;;;oblast;08.06.2022 0:01;08.06.2022 0:34
Cherkaska oblast;;;oblast;08.06.2022 0:44;08.06.2022 1:13
Kirovohradska oblast;;;oblast;08.06.2022 0:45;08.06.2022 1:14
Odeska oblast;;;oblast;08.06.2022 0:45;08.06.2022 1:14
Mykolaivska oblast;;;oblast;08.06.2022 0:45;08.06.2022 1:14
Mykolaivska oblast;Voznesenskyi raion;m. Voznesensk ta Voznesenska terytorialna hromada;hromada;08.06.2022 0:46;08.06.2022 1:20
Mykolaivska oblast;Pervomaiskyi raion;Kryvoozerska terytorialna hromada;hromada;08.06.2022 0:47;08.06.2022 1:16
Mykolaivska oblast;;;oblast;08.06.2022 2:15;08.06.2022 7:18
Odeska oblast;;;oblast;08.06.2022 2:15;08.06.2022 2:49
Mykolaivska oblast;Pervomaiskyi raion;Kryvoozerska terytorialna hromada;hromada;08.06.2022 2:18;08.06.2022 9:30
Mykolaivska oblast;Voznesenskyi raion;m. Voznesensk ta Voznesenska terytorialna hromada;hromada;08.06.2022 2:19;08.06.2022 8:27
Kharkivska oblast;;;oblast;08.06.2022 7:21;08.06.2022 7:48
Cherkaska oblast;;;oblast;08.06.2022 7:28;08.06.2022 7:50
Poltavska oblast;;;oblast;08.06.2022 7:28;08.06.2022 7:50
Chernihivska oblast;;;oblast;08.06.2022 7:30;08.06.2022 7:53
Sumska oblast;;;oblast;08.06.2022 7:34;08.06.2022 7:59
Donetska oblast;Kramatorskyi raion;;raion;08.06.2022 8:17;08.06.2022 9:40
Kharkivska oblast;;;oblast;08.06.2022 8:38;08.06.2022 9:02
Zaporizka oblast;;;oblast;08.06.2022 8:38;08.06.2022 9:07
Dnipropetrovska oblast;;;oblast;08.06.2022 8:39;08.06.2022 9:08
Dnipropetrovska oblast;Kryvorizkyi raion;m. Kryvyi Rih ta Kryvorizka terytorialna hromada;hromada;08.06.2022 8:40;08.06.2022 9:08
Donetska oblast;;;oblast;08.06.2022 9:02;08.06.2022 9:40
Poltavska oblast;;;oblast;08.06.2022 11:37;08.06.2022 13:18
Cherkaska oblast;;;oblast;08.06.2022 11:37;08.06.2022 12:27
Zaporizka oblast;;;oblast;08.06.2022 11:37;08.06.2022 13:19
Kirovohradska oblast;;;oblast;08.06.2022 11:38;08.06.2022 12:28
Kharkivska oblast;;;oblast;08.06.2022 11:38;08.06.2022 13:19
Odeska oblast;;;oblast;08.06.2022 11:39;08.06.2022 12:38
Dnipropetrovska oblast;;;oblast;08.06.2022 11:39;08.06.2022 13:21
Dnipropetrovska oblast;Kryvorizkyi raion;m. Kryvyi Rih ta Kryvorizka terytorialna hromada;hromada;08.06.2022 11:39;08.06.2022 13:22
Mykolaivska oblast;Voznesenskyi raion;m. Voznesensk ta Voznesenska terytorialna hromada;hromada;08.06.2022 11:39;08.06.2022 12:41
Donetska oblast;;;oblast;08.06.2022 11:39;08.06.2022 12:46
Sumska oblast;;;oblast;08.06.2022 11:40;08.06.2022 13:21
Mykolaivska oblast;Pervomaiskyi raion;Kryvoozerska terytorialna hromada;hromada;08.06.2022 11:40;08.06.2022 12:37
Mykolaivska oblast;Pervomaiskyi raion;Arbuzynska terytorialna hromada;hromada;08.06.2022 11:41;08.06.2022 12:35
Mykolaivska oblast;;;oblast;08.06.2022 11:43;08.06.2022 12:42
Vinnytska oblast;;;oblast;08.06.2022 11:59;08.06.2022 12:17
Khmelnytska oblast;;;oblast;08.06.2022 12:01;08.06.2022 12:06
